Department,Day,Starting.Time,Ending.Time,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,Lecturer.in.charge,Lecture.Time,Degree.Type,Stream
Food Science and Tech,Tuesday,1970-01-01T08:55:00Z,1970-01-01T15:00:00Z,Practicals,FST P,FST,FST P Practicals,2,P,Practicals,NA,08:55-15:00,Special,Food Science
Food Science and Tech,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Statistics for Food Science I,FST 251 2.0,FST,FST 251 2.0 Statistics for Food Science I,2,NFC5,Lecture,Ms. Asha Mallikarachchi,08:00-09:45,Special,Food Science
Food Science and Tech,Wednesday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Organic Spectros copy,FST 261 1.0,FST,FST 261 1.0 Organic Spectros copy,2,S1,Lecture,Dr. Upul Kumarasinghe,10:15-11:05,Special,Food Science
Food Science and Tech,Wednesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Electrochemistry,FST 262 1.0,FST,FST 262 1.0 Electrochemistry,2,S1,Lecture,Dr. Tharindu Senapathi,11:10-12:00,Special,Food Science
Food Science and Tech,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Unit Operation In Food Processing,FST 280 2.0,FST,FST 280 2.0 Unit Operation In Food Processing,2,NFC5,Lecture,VL,13:00-15:00,Special,Food Science
Food Science and Tech,Thursday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Bakery Science,FST 292 1.0,FST,FST 292 1.0 Bakery Science,2,NFC5,Lecture,Dr. Suraji Senanayake,08:55-09:45,Special,Food Science
Food Science and Tech,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Food Business Management II,FSC 211 1.0,FSC,FSC 211 1.0 Food Business Management II,2,NFC2,Lecture,Dr. Dulani Somendrika,10:15-11:05,General,Biology
Food Science and Tech,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Post Harvest Management of Plant Commodities,FST 266 1.0,FST,FST 266 1.0 Post Harvest Management of Plant Commodities,2,NFC5,Lecture,Dr. Dulani Somendrika,11:10-12:00,Special,Food Science
Food Science and Tech,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Post Harvest Management,FSC 252 1.0,FSC,FSC 252 1.0 Post Harvest Management,2,NFC5,Lecture,Dr. Dulani Somendrika,11:10-12:00,General,Biology
Food Science and Tech,Thursday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Chemical Kinetics,FST 264 2.0,FST,FST 264 2.0 Chemical Kinetics,2,S1,Lecture,Dr. S Rajapaksha,14:00-15:00,Special,Food Science
Food Science and Tech,Thursday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Food Packaging,FST 282 1.0,FST,FST 282 1.0 Food Packaging,2,NFC5,Lecture,Dr. Chathuni Jayathilaka,15:00-16:00,Special,Food Science
Food Science and Tech,Friday,1970-01-01T08:55:00Z,1970-01-01T11:05:00Z,Food Chemistry,FST 290 2.0,FST,FST 290 2.0 Food Chemistry,2,NFC5,Lecture,Prof. Jagath Wansapala,08:55-11:05,Special,Food Science
Food Science and Tech,Friday,1970-01-01T08:55:00Z,1970-01-01T11:05:00Z,Food Chemistry,FSC 231 2.0,FSC,FSC 231 2.0 Food Chemistry,2,NFC5,Lecture,Prof. Jagath Wansapala,08:55-11:05,General,Biology
Food Science and Tech,Friday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,"Basic Management, Accounting and Finance",FST 298 1.0,FST,"FST 298 1.0 Basic Management, Accounting and Finance",2,NFC5,Lecture,VL,13:00-14:00,Special,Food Science
Food Science and Tech,Monday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Regression Analysis,FST 366 2.0,FST,FST 366 2.0 Regression Analysis,3,NFC2,Lecture,Ms. Asha Mallikarachchi,08:00-09:45,Special,Food Science
Food Science and Tech,Monday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Project Management,FST 367 1.0,FST,FST 367 1.0  Project Management,3,NFC2,Lecture,Prof. Jagath Jayasinghe,10:15-11:05,Special,Food Science
Food Science and Tech,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Sustainability and Circular Economy,FST 359 1.0,FST,FST 359 1.0 Sustainability and Circular Economy,3,NFC2,Lecture,Dr. Dulani Somendrika,11:10-12:00,Special,Food Science
Food Science and Tech,Monday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,"Spices, Root Crops",FST 386 1.0,FST,"FST 386 1.0 Spices, Root Crops",3,NFC5,Lecture,Dr. Dulani Somendrika,14:00-15:00,Special,Food Science
Food Science and Tech,Tuesday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Grain Technology,FST 383 1.0,FST,FST 383 1.0 Grain Technology,3,NFC5,Lecture,Dr. Suraji Senanayake,08:55-09:45,Special,Food Science
Food Science and Tech,Tuesday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Fish & Meat Process Technology,FST 374 1.0,FST,FST 374 1.0 Fish & Meat Process Technology,3,NFC5,Lecture,Prof. I. Wickramasinghe,10:15-11:05,Special,Food Science
Food Science and Tech,Tuesday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Fish & Meat Process Technology,FSC 371 1.0,FSC,FSC 371 1.0 Fish & Meat Process Technology,3,NFC5,Lecture,Prof. I. Wickramasinghe,10:15-11:05,General,Biology
Food Science and Tech,Tuesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Dairy Process Technology,FST 399 1.0,FST,FST 399 1.0 Dairy Process Technology,3,NFC5,Lecture,Prof. R.A.U.J. Marapana,11:10-12:00,Special,Food Science
